subject_name,data,id
anatomy,"{'Correct Answer': 'paralysis of the facial muscles.', 'Correct Option': 'A', 'Options': {'A': 'paralysis of the facial muscles.', 'B': 'paralysis of the facial muscles and loss of taste.', 'C': 'paralysis of the facial muscles, loss of taste and lacrimation.', 'D': 'paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.'}, 'Question': 'A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral'}",f79cc804-61f3-4456-98af-7fcbe2227d22
anatomy,"{'Correct Answer': 'a recessive maxilla due to failure of elongation of the cranial base.', 'Correct Option': 'B', 'Options': {'A': 'a protruding mandible due to reactivation of the condylar cartilage by acromegaly.', 'B': 'a recessive maxilla due to failure of elongation of the cranial base.', 'C': 'an enlarged frontal bone due to hydrocephaly.', 'D': 'defective development of the maxillary air sinus.'}, 'Question': 'A ""dished face"" profile is often associated with'}",57a7ec13-0022-422a-80bb-92c0366065b3
anatomy,"{'Correct Answer': 'Bladder', 'Correct Option': 'A', 'Options': {'A': 'Bladder', 'B': 'Kidney', 'C': 'Ureter', 'D': 'Urethra'}, 'Question': 'Which of the following best describes the structure that collects urine in the body?'}",2c3f33fc-8cfe-4036-9adf-b859cd9dd203
anatomy,"{'Correct Answer': 'Melanocytes', 'Correct Option': 'C', 'Options': {'A': 'Motor neurons', 'B': 'Skeletal muscles', 'C': 'Melanocytes', 'D': 'Sweat glands'}, 'Question': 'Which of the following structures is derived from ectomesenchyme?'}",1d309a06-dfbd-4d60-bcc9-7bb13bcea1cd
anatomy,"{'Correct Answer': 'Glomerulus', 'Correct Option': 'B', 'Options': {'A': 'Afferent arteriole', 'B': 'Glomerulus', 'C': 'Loop of Henle', 'D': 'Renal pelvis'}, 'Question': 'Which of the following describes the cluster of blood capillaries found in each nephron in the kidney?'}",6e19f938-cdbd-4a16-93ce-25daba7c6965
anatomy,"{'Correct Answer': 'They will only be able to breathe quietly.', 'Correct Option': 'B', 'Options': {'A': 'They will be unable to breathe without life support.', 'B': 'They will only be able to breathe quietly.', 'C': 'It is impossible to predict an effect on breathing.', 'D': 'Breathing will be unaffected.'}, 'Question': 'A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra.'}",1c26a02f-53fa-451f-b075-9e82f2a82700
anatomy,"{'Correct Answer': 'Epigastric', 'Correct Option': 'A', 'Options': {'A': 'Epigastric', 'B': 'Hypochondriac', 'C': 'Hypogastric', 'D': 'Lumbar'}, 'Question': 'Which of the following anatomical regions of abdomen lies just distal to the sternum?'}",f860cd65-23fc-4c17-b179-c33daa9110b4
anatomy,"{'Correct Answer': 'Mucous membranes', 'Correct Option': 'B', 'Options': {'A': 'Hair in the nose', 'B': 'Mucous membranes', 'C': 'Osteoblasts', 'D': 'Saliva'}, 'Question': ""Which of the following best describes the human body's defense mechanism against environmental bacteria?""}",298f1437-bb07-4f6d-b886-1cac02207da0
anatomy,"{'Correct Answer': 'ten weeks post-fertilization.', 'Correct Option': 'C', 'Options': {'A': 'six weeks post-fertilization.', 'B': 'eight weeks post-fertilization.', 'C': 'ten weeks post-fertilization.', 'D': 'twelve weeks post-fertilization.'}, 'Question': 'The palatine processes begin to fuse at'}",b4f76a17-e33d-4cf9-8504-36fbe262aae0
anatomy,"{'Correct Answer': 'contraction of contralateral limb musculature.', 'Correct Option': 'D', 'Options': {'A': 'bilateral contraction of antigravity limb muscles.', 'B': 'bilateral contraction of limb musculature.', 'C': 'contraction of ipsilateral limb musculature.', 'D': 'contraction of contralateral limb musculature.'}, 'Question': 'Primary motor cortex activity results in'}",f716bf78-5d05-4997-8531-1e48ad66357a
anatomy,"{'Correct Answer': 'hard palate, upper lip, upper central incisor and lower first molar.', 'Correct Option': 'D', 'Options': {'A': 'hard palate.', 'B': 'hard palate and upper lip.', 'C': 'hard palate, upper lip and upper central incisor.', 'D': 'hard palate, upper lip, upper central incisor and lower first molar.'}, 'Question': ""You notice that your patient's submandibular lymph nodes are enlarged. You would look for potential infection sites in the""}",45c6bd44-be5a-4258-b497-702bb90a8826
anatomy,"{'Correct Answer': 'Pupillary dilatation and a lateral strabismus', 'Correct Option': 'D', 'Options': {'A': 'Pupillary constriction and a medial strabismus', 'B': 'Pupillary dilatation and a medial strabismus', 'C': 'Pupillary constriction and a lateral strabismus', 'D': 'Pupillary dilatation and a lateral strabismus'}, 'Question': 'A patient suffers damage to the orbit in a road traffic incident resulting in damage to the third cranial nerve. Which of the following signs will be present?'}",edf6466c-784b-431f-aea8-d5d49665b4f8
anatomy,"{'Correct Answer': 'Proprioceptive information is carried by the masseteric and auriculotemporal nerves.', 'Correct Option': 'D', 'Options': {'A': 'It has an articular disc of hyaline cartilage', 'B': 'Its articular surfaces are covered by hyaline cartilage', 'C': 'Proprioceptive information is carried by the chorda tympani and deep temporal nerves', 'D': 'Proprioceptive information is carried by the masseteric and auriculotemporal nerves.'}, 'Question': 'Which of the following statements is true of the temporomandibular joint?'}",65491184-c4dd-4d00-9ade-81bb153ba6da
anatomy,"{'Correct Answer': 'cricothyroid muscle is still functional but the interarytenoids are weak.', 'Correct Option': 'B', 'Options': {'A': 'cricothyroid muscle is still functional but the interarytenoid muscles are fully active.', 'B': 'cricothyroid muscle is still functional but the interarytenoids are weak.', 'C': 'cricothyroid muscle is paralyzed but the interarytenoids are fully active.', 'D': 'cricothyroid muscle is paralyzed but the interarytenoids are weak.'}, 'Question': 'Laryngoscopic examination of the vocal folds after suspected recurrent laryngeal nerve damage usually shows that the vocal fold on the injured side is tensed and in an intermediate position between adduction and abduction. This is because'}",c3705430-3fc2-48e0-bf88-2e0d1d9fd65f
anatomy,"{'Correct Answer': 'The mental symphysis closes at about 1 year postnatally', 'Correct Option': 'A', 'Options': {'A': 'The mental symphysis closes at about 1 year postnatally', 'B': 'The condylar growth cartilage ceases activity at puberty', 'C': ""The ossification centre appears about 8 weeks I.U.L medial to Meckel's cartilage"", 'D': 'The functional matrix acting on the angle of the mandible is the lateral pterygoid muscle'}, 'Question': 'Which one of the following statements about the growth of the mandible is correct?'}",fb7899b1-d90f-4bb2-abd8-dff0d9888741
anatomy,"{'Correct Answer': 'It is a consensual reflex', 'Correct Option': 'C', 'Options': {'A': 'Its efferent limb is carried in the optic nerve', 'B': 'It is mediated by the inferior colliculi in the midbrain', 'C': 'It is a consensual reflex', 'D': 'Its afferent limb is carried in the oculomotor nerve'}, 'Question': 'Which of the following statements is true of the pupillary light reflex?'}",c2ee5a01-bb1d-46e2-ae02-ce250d6ff334
anatomy,"{'Correct Answer': 'External intercostal muscles and diaphragm', 'Correct Option': 'B', 'Options': {'A': 'External and internal intercostal muscles', 'B': 'External intercostal muscles and diaphragm', 'C': 'Internal intercostal muscles and diaphragm', 'D': 'External and internal intercostal muscles and diaphragm'}, 'Question': 'Which muscles are normally active during quiet inspiration?'}",516852ec-42bc-4a82-b9cd-72ae8360fafa
anatomy,"{'Correct Answer': 'Testes', 'Correct Option': 'D', 'Options': {'A': 'Glans penis', 'B': 'Prepuce', 'C': 'Prostate', 'D': 'Testes'}, 'Question': 'Male hormones are produced by which of the following?'}",ec249f06-6d06-4604-b205-5dffc437aab2
anatomy,"{'Correct Answer': 'Pulmonary veins', 'Correct Option': 'D', 'Options': {'A': 'Aorta', 'B': 'Carotid arteries', 'C': 'Inferior vena cava', 'D': 'Pulmonary veins'}, 'Question': 'Oxygenated blood is carried to the heart by which of the following structures?'}",54303109-021b-4d9f-863e-796c55fdf55f
