subject_name,data,id
clinical_knowledge,"{'Correct Answer': '18 gauge.', 'Correct Option': 'A', 'Options': {'A': '18 gauge.', 'B': '20 gauge.', 'C': '22 gauge.', 'D': '24 gauge.'}, 'Question': 'What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?'}",979ab3ac-f85d-49ef-a82b-79355efaece5
clinical_knowledge,"{'Correct Answer': 'stamina.', 'Correct Option': 'D', 'Options': {'A': 'strength.', 'B': 'power.', 'C': 'stride length.', 'D': 'stamina.'}, 'Question': 'The key attribute in successful marathon running is:'}",21fdd2b1-8de3-49d2-bcc3-21ed9f3438c8
clinical_knowledge,"{'Correct Answer': ""Alzheimer's disease."", 'Correct Option': 'A', 'Options': {'A': ""Alzheimer's disease."", 'B': 'Cerebrovascular (stroke) disease.', 'C': 'Lewy body dementia.', 'D': 'HIV infection.'}, 'Question': 'Which of the following is the commonest cause of dementia in the UK?'}",3344adf8-b6b0-46fb-aa9a-76fd1ca8e9c0
clinical_knowledge,"{'Correct Answer': 'Bradycardia.', 'Correct Option': 'B', 'Options': {'A': 'Stridor.', 'B': 'Bradycardia.', 'C': 'Severe wheeze.', 'D': 'Rash.'}, 'Question': 'Which of the following is NOT a symptom of anaphylaxis?'}",0ea2a291-d430-491e-85f4-39f8549f93fc
clinical_knowledge,"{'Correct Answer': 'The patient has a colostomy.', 'Correct Option': 'B', 'Options': {'A': 'The patient has a semi-formed or liquid output.', 'B': 'The patient has a colostomy.', 'C': 'In the immediate post-operative period.', 'D': 'The patient has a urostomy.'}, 'Question': 'In what situation are closed pouches applied?'}",51be859f-eb0f-4037-a491-35c8a3cc8917
clinical_knowledge,"{'Correct Answer': 'relative contribution of aerobic metabolism increases.', 'Correct Option': 'D', 'Options': {'A': 'anaerobic contribution progressively increases.', 'B': 'pH of the muscle falls below 6.0.', 'C': 'blood glucose concentration falls below 3 mmol/L.', 'D': 'relative contribution of aerobic metabolism increases.'}, 'Question': 'With an increasing number of sprints the:'}",9be919d4-7eba-4184-81b6-6a34cfc3153a
clinical_knowledge,"{'Correct Answer': 'The outer image is always the false image', 'Correct Option': 'B', 'Options': {'A': 'Diplopia can never occur if one eye is covered', 'B': 'The outer image is always the false image', 'C': 'A fourth nerve palsy occurs when the patient looks upwards', 'D': 'A sixth nerve palsy causes a divergent squint'}, 'Question': 'Which of the following is true in diplopia?'}",77e01e68-d117-45da-a20d-7dea3aee2e2c
clinical_knowledge,"{'Correct Answer': 'elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.', 'Correct Option': 'A', 'Options': {'A': 'elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.', 'B': 'reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.', 'C': 'elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.', 'D': 'elevating the pre-exercise muscle pH.'}, 'Question': 'Sodium bicarbonate ingestion improves middle distance running performance by:'}",b0b28729-801e-405e-904a-6141d5169404
clinical_knowledge,"{'Correct Answer': 'triplet sequences of nucleotide bases in mRNA or DNA .', 'Correct Option': 'A', 'Options': {'A': 'triplet sequences of nucleotide bases in mRNA or DNA .', 'B': 'quadruplet sequences of nucleotide bases in mRNA or DNA.', 'C': 'triplet sequences of amino acids in polypeptide chains.', 'D': 'triplet sequences of deoxyribose sugars in DNA.'}, 'Question': 'Codons are composed of:'}",6e463efd-0ef7-4e00-995c-f7b6ebb2bbfb
clinical_knowledge,"{'Correct Answer': 'carnitine.', 'Correct Option': 'D', 'Options': {'A': 'thiokinase.', 'B': 'coenzyme A (CoA).', 'C': 'acetyl-CoA.', 'D': 'carnitine.'}, 'Question': 'Fatty acids are transported into the mitochondria bound to:'}",cb4f887d-023d-4a0d-a517-6922b2ab5013
